"Pozo","Estado","Acuífero","Elev.Brocal","Latitud","Longitud","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024","2025"
"422","Baja California Sur","LA PAZ","37.00","24.070694","-110.327419","40.8","40.84","","40.73","41.68","","","","","40.7","","","","","","","","","51.58","","","","","","","","35.42","","",""
"41_01","Baja California Sur","SANTO DOMINGO","36.78","25.072833","-111.775833","","51.91","55","57.8","54.83","","52.59","53.97","52.07","","53.55","52.57","54.7","","52","53.24","54.58","53.98","","55.36","","","","","","","","","",""
"419","Baja California Sur","LA PAZ","13.00","24.112417","-110.328147","","","","","","","13.71","","","12.05","12.67","12.9","12.74","12.8","13.98","13.94","12.2","12.8","14.29","","","","","","","","","","",""
"416","Baja California Sur","LA PAZ","45.00","24.1225","-110.299167","","","","","43.47","","39.77","37.63","38.32","35.12","39.74","38.95","34.8","45","41.4","42.6","43.45","45","46.48","","43.6","","","","","","44.04","","",""
"415","Baja California Sur","LA PAZ","40.00","24.108333","-110.291667","","","","","37.22","","","","31.5","","","","","43.1","","41.97","","43.1","","","37.9","","","","","","39.01","","",""
"40_04","Baja California Sur","SANTO DOMINGO","34.71","25.062833","-111.802167","","52.44","55.45","50.29","49.4","49.49","50.2","5.5","50.36","","63.4","","","","","","","54.6","","53.34","","","","","","","","","",""
"409","Baja California Sur","LA PAZ","66.00","24.018611","-110.400278","77.07","68.23","","","69.04","68.84","","","70.28","70.7","66.23","70.61","","","70.52","71.25","71.71","","71.74","","72.37","","","","","","","","",""
"408","Baja California Sur","LA PAZ","11.00","24.077778","-110.398889","11.2","11.75","","11.6","13.08","","12.77","12.49","13.7","14.2","14.17","14.24","14.06","13.3","13.74","14.04","14.07","13.3","15.07","","15.39","","","","","","","","",""
"407","Baja California Sur","LA PAZ","18.00","24.075","-110.398611","","","","","16.07","","16.12","","16.07","16.64","17.24","","16.57","17.16","17.34","17.92","","17.16","17.85","","18.21","","","","","","","","",""
"406","Baja California Sur","LA PAZ","14.00","24.089444","-110.408889","13.28","13.2","","13.31","13.82","14.74","14.22","14.45","13.63","14.32","15.21","14.78","14.71","14.4","14.95","15.42","15.04","14.4","15.54","","","","","","","","15.73","","",""
"405","Baja California Sur","LA PAZ","38.00","24.063056","-110.411111","38.9","38.68","","39.58","40.2","","40.02","37.42","37.98","39.93","35.53","","40.67","40.2","41","40.69","40.9","40.2","","","41.38","","","","","","26.1","","",""
"403","Baja California Sur","LA PAZ","33.00","24.038333","-110.37","34.54","","","35.2","35.42","","36.27","36.37","","37.27","32.26","37.74","37.6","37.4","38.13","38.7","38.3","37.4","","","39.07","","","","","","39.15","","",""
"400","Baja California Sur","LA PAZ","55.00","24.015556","-110.390278","","","","","40.45","","60.22","60.23","60.41","61.5","","61.89","","61.89","","","","61.89","","","","","","","","","","","",""
"4","Baja California Sur","SANTO DOMINGO","12.64","25.4545","-111.9175","","19.64","20.29","19.94","19.62","19.64","19.35","","18.59","","18.98","18.63","18.69","20.6","19.58","20.15","21.24","20.4","","19.4","","","","","","","","","",""
"3_1A","Baja California Sur","SANTO DOMINGO","26.11","25.525833","-111.841333","","25.74","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"39_2","Baja California Sur","SANTO DOMINGO","67.61","25.0625","-111.583833","","31.95","31.92","32.12","32.29","32.16","32.55","32.68","","","32.97","32.86","33.14","32.7","32.94","33.35","33.21","34.01","","","","","","","","","","","",""
"391","Baja California Sur","LA PAZ","30.00","24.053056","-110.383611","30.18","","","31.1","35.62","","","","","32.35","","39","32.7","","33.21","","31.4","","33.69","","26.26","","","","","","","","",""
"38_2","Baja California Sur","SANTO DOMINGO","53.27","25.075","-111.638333","","34.55","35.56","34.28","36.05","36.02","36.25","","","","37","","38.61","36.2","35","36.2","36.4","37.97","","37.05","","","","","","","","","",""
"385","Baja California Sur","LA PAZ","17.00","24.085556","-110.408056","15.32","15.37","","15.3","16.08","","20.36","20.71","15.85","16.55","16.45","16.51","16.72","16.64","17.26","17.58","17.15","16.64","17.36","","17.81","","","","","","17.96","","",""
"384","Baja California Sur","LA PAZ","34.00","24.0825","-110.419167","34.7","34.51","","34.81","35.22","","35.46","35.55","35.46","36.21","35.54","35.53","35.88","35.79","36.29","36.6","36.45","35.79","36.95","","35.87","","","","","","","","",""
"381-R","Baja California Sur","LA PAZ","39.00","24.069444","-110.413889","39.33","38.97","","39.41","39.95","","40.49","40.79","40.21","40.36","35.58","39.36","39.44","40.05","40.45","40.52","40.69","40.05","","","40.27","","","","","","","","",""
"380-R","Baja California Sur","LA PAZ","38.00","24.040833","-110.383889","","","","","40.4","","41.31","","40.91","41.5","","41.89","","41.65","41.47","42.45","42.3","41.65","42.48","","42.9","","","","","","44.3","","",""
"37_32","Baja California Sur","SANTO DOMINGO","69.22","25.1375","-111.579167","","35.92","36.3","36.43","36.69","52.36","","","37.45","","38.14","38.5","38.48","39.06","38.6","39.77","39","51","","40","","","","","","","","","",""
"379","Baja California Sur","LA PAZ","13.00","24.099167","-110.416944","12.85","12.8","","12.85","13.27","","13.49","13.53","13.55","13.28","13.24","20.81","13.9","13.7","13.92","14.18","14.32","13.7","14.75","","","","","","","","","","",""
"378-R","Baja California Sur","LA PAZ","25.00","24.053611","-110.372778","27.22","27.32","","27.78","28.06","28.29","35.55","28.68","28.12","29.2","29.8","29.4","","29.17","29.42","30.58","30","29.17","30.98","","","","","","","","","","",""
"36_TMI","Baja California Sur","SANTIAGO","11.29","23.586","-109.568333","","9.29","","","9.53","8.2","9.45","","","","7.9","8.4","8.9","9.37","8.57","9.5","9.19","9.53","","","9.55","","","","","","","","",""
"36_25","Baja California Sur","SANTO DOMINGO","53.64","25.123333","-111.670833","","46.43","46.71","46.72","47.65","47.66","","","47","","48.38","","49.98","48.1","47.46","50.4","50.7","51.86","","48.18","","","","","","","","","",""
"368","Baja California Sur","LA PAZ","11.00","24.102222","-110.418333","11.25","11.3","","11.4","11.51","","","11.94","11.53","13.15","11.87","12.43","12.04","12.72","12.25","12.53","12.15","12.72","12.12","","15.58","","","","","","","","",""
"35_78","Baja California Sur","SANTO DOMINGO","38.39","25.1645","-111.7945","","62.23","61.83","61.65","62.94","62.57","67.15","63.98","64.33","","","60.45","","67.2","","69.05","71.1","68.95","","","","","","","","","","","",""
"35_49","Baja California Sur","SANTO DOMINGO","40.18","25.113333","-111.789667","","59.67","60","60.13","60.26","","60.96","60.35","61.1","","","","","","","","","","","","","","","","","","","","",""
"35_21","Baja California Sur","SANTO DOMINGO","30.79","25.1055","-111.852","","38.22","37.56","37.95","38.73","","40.12","39.72","","","39.28","38.52","41.46","39.52","39.9","39.6","41","40.5","","40","","","","","","","","","",""
"35_14","Baja California Sur","SANTO DOMINGO","20.54","25.128","-111.902167","","29.13","29","28.75","29.5","","","","28.45","","","20.59","","","","27.8","30","36","","31","","","","","","","","","",""
"34_14","Baja California Sur","SANTO DOMINGO","30.57","25.167","-111.861167","","54.32","50","49.77","50.46","49.9","50.16","49","44","","","50.3","49.48","51.44","51.3","51.4","51.9","42.6","","","","","","","","","","","",""
"33","Baja California Sur","SANTO DOMINGO","45.63","25.149667","-111.7455","","66.36","67.15","67.05","68.39","","70.14","7.34","70.15","","72.43","74.36","73.61","73.3","73.48","74.08","74.45","75.12","","77.4","","","","","","","","","",""
"32_TMI","Baja California Sur","SANTIAGO","16.32","23.595833","-109.605","","12.32","","","11.79","7.93","9.93","","","","","","","","","","3.51","11.79","","","","","","","","","","","",""
"32_02","Baja California Sur","SANTO DOMINGO","16.31","25.128","-111.951167","","16.75","21.53","21.5","21.84","21.83","22.07","","26.19","","21.48","21.26","24","21.18","21.21","22.1","22","21.9","","25.9","","","","","","","","","",""
"326","Baja California Sur","LA PAZ","20.00","24.082222","-110.407778","19.24","19.14","","19.21","20.28","","16.42","16.54","19.87","20.17","20.1","20.82","24.86","20.54","21.09","21.57","21.34","20.54","21.66","","21.93","","","","","","","","",""
"31-27","Baja California Sur","SANTO DOMINGO","72.03","25.193","-111.608667","","54.62","51.6","47.21","52.4","","","","","","53.92","54.2","57.33","56.1","","","","","","61","","","","","","","","","",""
"28","Baja California Sur","SANTO DOMINGO","60.40","25.2805","-111.669667","","57.17","57.6","57.26","58.8","61.47","","","","","","","67.87","60.13","","","","","","","","","","","","","","","",""
"27_28A","Baja California Sur","SANTO DOMINGO","55.02","25.153667","-111.69","","63.66","66.6","88.71","67.42","","","65.5","64.45","","69.9","67.16","67.16","67","","","","","","","","","","","","","","","",""
"26","Baja California Sur","LA PAZ","6.95","24.18467","-110.4925","","7.77","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"253","Baja California Sur","LA PAZ","5.00","24.092222","-110.398611","","","","","","","","","","","","16.61","5.22","6.48","6.33","7.6","6.44","6.48","6.29","","6.46","","","","","","6","","",""
"252","Baja California Sur","LA PAZ","10.00","24.089167","-110.380556","9.85","9.85","","","10.16","","","","9.83","7.95","10.08","10.51","10.35","10.24","10.54","10.27","10.5","10.24","","","10.39","","","","","","10.12","","",""
"25","Baja California Sur","SANTO DOMINGO","34.55","25.222","-111.8355","","58.79","","56.55","56.81","","57.57","","56.93","","57.03","57.34","","56.3","58.1","58.6","58.8","73.8","","61.2","","","","","","","","","",""
"248-R","Baja California Sur","LA PAZ","30.00","24.044722","-110.3575","","","","32.68","33.8","","35.89","","40.11","37.04","40.03","37.8","40.17","","38.35","","31.69","","","","33.38","","","","","","13.99","","",""
"243","Baja California Sur","LA PAZ","13.00","24.087222","-110.370556","13.12","12.5","","13.85","14.04","14.36","13.74","14","12.13","14.48","23.15","14.25","14.11","13.73","13.82","14.2","13.62","13.73","14.36","","14.84","","","","","","","","",""
"242-R","Baja California Sur","LA PAZ","13.00","24.085278","-110.373889","13.2","13.67","","13.81","13.82","","13.65","13.64","13.11","13.53","13.83","13.8","13.89","13.82","13.82","14.49","13.6","13.82","15.04","","15.44","","","","","","","","",""
"228-A","Baja California Sur","LA PAZ","7.00","24.090833","-110.400278","6.35","6.72","","6.49","6.9","","7.52","7.3","7.37","7.51","7.28","7.59","6.82","7.16","7.49","8.02","7.47","7.16","7.32","","7.8","","","","","","10.02","","",""
"221","Baja California Sur","LA PAZ","15.00","24.076028","-110.377472","15.4","15.54","","16.05","16.16","","","12.98","16.08","16.3","16.38","16.51","","16.55","","17.38","","16.55","","","","","","","","","","","",""
"21_27","Baja California Sur","SANTO DOMINGO","21.90","25.169667","-111.916667","","27.92","26.97","27.22","27.73","27.61","27.73","","","","","","","","","","","","","","","","","","","","","","",""
"217-R","Baja California Sur","LA PAZ","19.00","24.070278","-110.3975","18.81","18.39","","18.95","19.53","","","20.12","25.94","20.41","","21.12","20.54","20.78","21.06","21.88","","20.78","21.7","","22.14","","","","","","","","",""
"216","Baja California Sur","LA PAZ","32.00","24.0575","-110.398611","1","","","","","","","","","34.03","","35.02","34.21","34.25","","35","35.55","34.25","35.25","","","","","","","","19.42","","",""
"211","Baja California Sur","LA PAZ","22.00","24.068333","-110.370278","21.14","21.37","","21.6","","","22.32","22.66","22.79","22.38","22.59","","22.79","","22.84","","25.33","","31.77","","24.72","","","","","","","","",""
"20_16_17","Baja California Sur","SANTO DOMINGO","29.90","25.239667","-111.803667","","62.98","63.33","63.07","","61.03","62.68","62","","","63.11","62.33","62.72","64.63","64.4","58.7","66.7","68.6","","66.27","","","","","","","","","",""
"209","Baja California Sur","LA PAZ","38.00","24.027222","-110.368611","41.56","","","","","","","42.63","42.78","43.13","","43.34","44.26","43.85","44.64","44.4","44.61","43.85","56.8","","","","","","","","59.32","","",""
"208","Baja California Sur","LA PAZ","32.00","24.036389","-110.364167","35.58","35.73","","36.18","36.41","","36.96","36.98","37.16","37.6","37.99","38.02","38","38.08","39.15","38.8","38.74","38.08","39.09","","37.39","","","","","","","","",""
"207-R","Baja California Sur","LA PAZ","29.00","24.043889","-110.368889","32.07","32.2","","32.59","32.88","","33.4","33.33","38.26","33.92","38.55","","","","","","","","37.11","","","","","","","","","","",""
"206","Baja California Sur","LA PAZ","33.00","24.034444","-110.356667","","","","","48.46","","38.91","","","39.56","","40.28","40.8","43.8","40.49","41.16","40.83","43.8","","","","","","","","","","","",""
"205","Baja California Sur","LA PAZ","25.00","24.053611","-110.359167","","","","29.2","29.45","","30","29.8","29.64","","30","30.64","30.28","30.45","33.4","31.02","31.2","30.45","35.66","","32.05","","","","","","42.16","","",""
"2","Baja California Sur","SAN JOSÉ DEL CABO","30.70","23.1145","-109.703167","10.71","9.54","","5.17","4.94","5.31","3.04","","2.4","2.6","3.53","3.29","7.12","3.72","4.09","5.31","","4.94","","","5.01","","","","","","","","",""
"19_73","Baja California Sur","SANTO DOMINGO","49.63","25.240833","-111.688667","","55.95","58.66","67.8","59.34","58.57","60.54","61.74","62.23","","61.86","62.45","63.33","63.24","","64.49","69.89","70.7","","70.25","","","","","","","","","",""
"19_68","Baja California Sur","SANTO DOMINGO","36.80","25.250333","-111.742167","","58.5","59.9","59.66","61.7","67","","","","","64.2","63.2","64.04","64.63","","","","","","","","","","","","","","","",""
"19_25","Baja California Sur","SANTO DOMINGO","48.99","25.201333","-111.712","","65.27","66.1","67.02","","68.16","68.63","68.63","69.36","","70.13","56.5","","72.36","71.4","73.5","74.3","74.16","","75.72","","","","","","","","","",""
"19_20","Baja California Sur","SANTO DOMINGO","40.98","25.1995","-111.761333","","61.62","62.85","63.4","64.55","63.78","64.59","","66.85","","65.9","73.5","67.4","","67.55","68.28","69.3","69.1","","71.2","","","","","","","","","",""
"19_140","Baja California Sur","SANTO DOMINGO","31.10","25.283667","-111.775833","","60.08","56.89","57.5","57.27","55.51","56.54","55.2","58.69","","","","58.92","61","","","","","","","","","","","","","","","",""
"197-A","Baja California Sur","LA PAZ","9.00","24.098611","-110.352778","10.15","10.22","","","10.55","","10.24","10.3","9.86","9.42","9.7","10.56","10.61","10.6","10.56","11.32","11.47","10.6","11.45","","11.74","","","","","","11.52","","",""
"191-R","Baja California Sur","LA PAZ","10.00","24.096389","-110.3525","10.8","10.92","","11.07","11.48","","11.22","11.03","10.56","10.5","10.64","10.98","10.8","10.91","11.61","11.5","11.88","10.91","12.2","","12.39","","","","","","8.3","","",""
"186_XIII","Baja California Sur","SAN JOSÉ DEL CABO","23.72","23.086333","-109.699","5.29","4.84","","2.1","2.3","4.37","3.37","","3.56","","4.06","4","3.86","","","3.92","","2.3","","","","","","","","","","","",""
"182","Baja California Sur","LA PAZ","12.00","24.093611","-110.350556","12.62","12.73","","12.78","12.98","","12.9","12.57","12.23","12.13","12.07","12.8","12.93","13.43","13.83","13.84","13.96","13.43","13.84","","15.79","","","","","","14.02","","",""
"181-R","Baja California Sur","LA PAZ","17.00","24.073611","-110.348889","20.2","20.73","","20.51","20.88","21.08","","","20.4","20","20.22","20.81","20.57","16.45","21.35","21.41","22.25","16.45","21.81","","22.26","","","","","","23.3","","",""
"18","Baja California Sur","SANTO DOMINGO","39.98","25.279667","-111.706333","","53.82","48.88","49.62","50.86","49.57","51.7","52.15","52.73","","","","54.74","58","","","","","","","","","","","","","","","",""
"172","Baja California Sur","LA PAZ","14.00","24.078611","-110.354444","","16.86","","17.36","17.73","","15.98","","16.71","22.62","17.06","16.9","16.93","17.09","17.5","17.7","18.27","17.09","18","","18.36","","","","","","18","","",""
"171-A","Baja California Sur","LA PAZ","13.00","24.088333","-110.350833","","15.26","","","15.67","","15.13","","14.9","20.44","14.84","15.56","15.08","15.23","15.9","15.96","16.38","15.23","16.18","","16.44","","","","","","","","",""
"167-R","Baja California Sur","LA PAZ","42.00","24.0489","-110.334369","46.14","46.9","","46.25","47.39","","47.32","47.62","47.38","47.4","47.58","47.88","47.58","48","48.45","49.1","49.42","48","45.52","","","","","","","","","","",""
"166","Baja California Sur","LA PAZ","50.00","24.0477","-110.32655","59.98","59.98","","58.85","58.91","58.86","59.2","59.25","64.1","59.04","60.3","59.54","59.76","59.89","60.36","62.84","61.27","59.89","61.12","","61.5","","","","","","","","",""
"164","Baja California Sur","LA PAZ","51.00","24.061136","-110.320028","59.57","60.5","","59.71","60.26","","42.2","60.59","64.72","58.6","60","59.88","59.5","","60.53","62.62","","","","","","","","","","","76.28","","",""
"16","Baja California Sur","SANTO DOMINGO","24.80","25.304667","-111.828333","","44.15","45.56","45.65","46.06","45.34","49.38","46.37","40","","47.27","47.8","48.38","50","51.2","50","52","50.92","","53.26","","","","","","","","","",""
"157_TMI","Baja California Sur","SAN JOSÉ DEL CABO","83.30","23.214667","-109.686333","23.16","18.02","16.33","13.58","15","16.58","8.9","","6.25","9.83","13.01","","9.94","11.77","","16.42","16.65","15","28.38","","22.58","","","","","","","","",""
"153","Baja California Sur","LA PAZ","21.09","24.058889","-110.3475","27.14","","","","28.18","28","","","28.2","32.15","29.6","","","","29.04","29.43","","","","","30.04","","","","","","","","",""
"152","Baja California Sur","LA PAZ","25.00","24.057222","-110.343333","29.77","","","30.97","31.13","","","","","","30.8","31.3","","","31.42","","32.68","","32.98","","","","","","","","","","",""
"151","Baja California Sur","LA PAZ","38.00","24.055","-110.333056","44.19","44.44","","44.23","45","","45.3","45.57","44.97","40.88","49.6","45.29","45.32","45.54","44.2","46.42","46.72","45.54","46.97","","47.16","","","","","","57.99","","",""
"15","Baja California Sur","SANTO DOMINGO","52.10","25.347","-111.6795","","41.63","41.77","41.12","42.54","41.99","42.64","","42.6","","","","45.17","46.15","46.4","47.14","46.76","47","","45.4","","","","","","","","","",""
"146","Baja California Sur","LA PAZ","16.00","24.081944","-110.343889","","19.8","","20.27","20.61","","20.36","","19.49","19.22","","","","20.9","20.08","20.8","","20.9","","","21.21","","","","","","","","",""
"145-R","Baja California Sur","LA PAZ","21.59","24.080753","-110.333206","28.12","28.21","","28.02","28.5","","27.18","","29.5","27.44","","","","","","","","","32.75","","25.49","","","","","","","","",""
"143","Baja California Sur","LA PAZ","36.27","24.030556","-110.356111","42.88","42.86","","39.63","43.39","","43","","","41.85","","","","43.3","43.2","43.16","43.44","43.3","","","","","","","","","","","",""
"142","Baja California Sur","LA PAZ","29.83","24.084519","-110.325344","36.66","36.87","","36.49","36.95","","36.65","","","","","","","","","","36.71","","","","","","","","","","","","",""
"141","Baja California Sur","LA PAZ","27.00","24.085097","-110.332044","29.65","","","28.28","28.69","","28.73","36.92","28.12","28.05","27.6","28","27.91","32.57","28.32","30.6","29.28","32.57","34.1","","25.97","","","","","","39.53","","",""
"140","Baja California Sur","LA PAZ","28.00","24.088483","-110.331106","28.68","28.8","","28.74","29.02","","28.78","","28.18","28.29","28.9","28.2","28.44","28.25","28.5","28.91","","28.25","","","","","","","","","","","",""
"13_18A","Baja California Sur","SANTO DOMINGO","49.30","25.338333","-111.728","","58.68","58.93","61.05","","61.19","62.91","63.1","56.8","","62.54","62.86","63.16","63.34","64.4","66.6","65","68.84","","62.5","","","","","","","","","",""
"138","Baja California Sur","LA PAZ","36.00","24.089228","-110.324194","35.03","35.56","","34.76","35.27","","34.9","35.49","","33.67","34.3","34.24","","34.2","31.88","35.09","40.94","34.2","36.28","","38.94","","","","","","","","",""
"137","Baja California Sur","LA PAZ","28.00","24.09143","-110.31356","28.64","29","","28.64","","","","","","","","","","","34.67","","","","","","","","","","","","46.16","","",""
"135-R","Baja California Sur","LA PAZ","18.00","24.108056","-110.325556","18.91","17.06","","16.89","17.12","","16.63","16.56","15.55","15.02","15.5","15.71","16.08","16.3","16.52","16.85","17.2","16.3","24.03","","17.84","","","","","","17.37","","",""
"134","Baja California Sur","LA PAZ","20.00","24.104028","-110.323978","20.96","21.1","","20.78","21.18","","20.57","20.21","19.63","19.11","19.62","19.79","19.9","19.75","20.35","20.7","23.92","19.75","17.45","","21.69","","","","","","21.14","","",""
"13-R","Baja California Sur","SAN JOSÉ DEL CABO","60.65","23.169","-109.682833","20.62","18.21","","11.9","12.82","13.92","7.44","","7.01","8.05","9.54","8","8.04","9.19","10.9","13.17","","12.82","18.49","","10.59","","","","","","","","",""
"13","Baja California Sur","SANTO DOMINGO","36.74","25.352167","-111.787833","","53.83","53.29","52.55","53.2","","","","","","","53.6","","","","","","","","","","","","","","","","","",""
"129-B","Baja California Sur","LA PAZ","26.00","24.098483","-110.316931","30.14","30.02","","29.77","29.93","31.65","30","29.53","29.15","28.4","28.75","29.3","29.4","29.1","29.35","29.82","31.95","29.1","32.7","","30.88","","","","","","40.49","","",""
"128","Baja California Sur","LA PAZ","36.00","24.089719","-110.312672","40.89","","","40.34","41.09","","","","40.04","39.49","39.59","39.92","40.02","40.04","40.55","40.85","41.26","40.04","41.75","","41.75","","","","","","","","",""
"127","Baja California Sur","SANTO DOMINGO","18.32","25.505833","-111.921333","","21.39","21.13","21.1","","21.28","21.17","21.3","","","21.1","21.1","20.98","","","","","","","","","","","","","","","","",""
"122-R","Baja California Sur","LA PAZ","15.00","24.085389","-110.366992","","","","","14.96","","14.91","14.94","14.4","14.5","15","15.8","15.24","15.08","15.87","15.78","15.68","15.08","","","16.07","","","","","","","","",""
"12","Baja California Sur","SANTO DOMINGO","27.75","25.358667","-111.836167","","42.69","43.37","43.8","43.05","43.34","43.98","44.32","","","45","45","45.68","46.43","46.52","47.16","47","47.3","","48.1","","","","","","","","","",""
"111","Baja California Sur","SANTO DOMINGO","47.10","25.371333","-111.713833","","39.48","40.1","40.07","40.69","40.9","","","42.03","","42.82","42.93","","43.55","","44.67","45","45","","45.13","","","","","","","","","",""
"109 ROASA","Baja California Sur","SANTIAGO","30.81","23.581333","-109.6155","","16.55","","","17.37","6.46","10.05","","","","7.2","4.01","7.26","8.31","9.42","12.6","12.83","17.37","","","13.95","","","","","","","","",""
"10","Baja California Sur","SAN JOSÉ DEL CABO","85.73","23.178667","-109.7405","24.9","21.94","","17.87","21.5","24.52","","","9.39","19.32","22.03","19.01","20.1","22","23.65","25.24","26.54","21.5","28.73","","19.13","","","","","","","","",""